reason,new_ministry,news_item_id,title,old_path,new_path
motie-pack3,산업통상자원부,156369948,"(설명자료)‘19년 외국인직접투자는 장기적으로 상승추세이며, 주52시간 근로제와 법인세율 인상 등은 투자의 결정적 요인이 아님 (서울경제, 한국경제 1.7일자 보도에 대한 설명)",data/2020/2020-01/2020-01-07/024_미분류_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md,data/2020/2020-01/2020-01-07/024_산업통상자원부_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md
motie-pack3,산업통상자원부,156370547,(참고자료)발전소주변지역 지원에 관한 법률 개정,data/2020/2020-01/2020-01-10/051_미분류_참고자료_발전소주변지역_지원에_관한_법률_개정.md,data/2020/2020-01/2020-01-10/051_산업통상자원부_참고자료_발전소주변지역_지원에_관한_법률_개정.md
motie-pack3,산업통상자원부,156371344,"2019년 12월 자동차산업 월간 동향(잠정, 연간동향 포함)",data/2020/2020-01/2020-01-16/032_미분류_2019년_12월_자동차산업_월간_동향_잠정_연간동향_포함.md,data/2020/2020-01/2020-01-16/032_산업통상자원부_2019년_12월_자동차산업_월간_동향_잠정_연간동향_포함.md
msit-pack3,과학기술정보통신부,156371812,"2019년 정보통신기술 수출 1,769억불, 수입 1,084억불",data/2020/2020-01/2020-01-20/047_미분류_2019년_정보통신기술_수출_1_769억불_수입_1_084억불.md,data/2020/2020-01/2020-01-20/047_과학기술정보통신부_2019년_정보통신기술_수출_1_769억불_수입_1_084억불.md
motie-pack3,산업통상자원부,156374824,(참고자료)금일중 중국內 와이어링 하네스 37개 공장 재가동,data/2020/2020-02/2020-02-10/067_미분류_참고자료_금일중_중국_와이어링_하네스_37개_공장_재가동.md,data/2020/2020-02/2020-02-10/067_산업통상자원부_참고자료_금일중_중국_와이어링_하네스_37개_공장_재가동.md
motie-pack3,산업통상자원부,156375829,(설명자료) ‘19년 기준 국내 태양광 시장에서 국산 모듈 점유율은 78.7%로 국내시장 주도 중(서울경제 2.17일자 보도에 대한 설명),data/2020/2020-02/2020-02-17/053_미분류_설명자료_19년_기준_국내_태양광_시장에서_국산_모듈_점유율은_78_7_로_국내시장_주도_중_서울경제_2_17일자_보도에_대한_설명.md,data/2020/2020-02/2020-02-17/053_산업통상자원부_설명자료_19년_기준_국내_태양광_시장에서_국산_모듈_점유율은_78_7_로_국내시장_주도_중_서울경제_2_17일자_보도에_대한_설명.md
motie-pack3,산업통상자원부,156377546,2020년 신재생에너지 금융지원사업 융자 신청 접수 시작,data/2020/2020-02/2020-02-27/041_미분류_2020년_신재생에너지_금융지원사업_융자_신청_접수_시작.md,data/2020/2020-02/2020-02-27/041_산업통상자원부_2020년_신재생에너지_금융지원사업_융자_신청_접수_시작.md
motie-pack3,산업통상자원부,156377547,’20년 1월 주요 유통업체 매출 전년동월 대비 6.6% 증가,data/2020/2020-02/2020-02-27/042_미분류_20년_1월_주요_유통업체_매출_전년동월_대비_6_6_증가.md,data/2020/2020-02/2020-02-27/042_산업통상자원부_20년_1월_주요_유통업체_매출_전년동월_대비_6_6_증가.md
environment-pack3,환경부,156378194,"(참고자료)미세먼지 계절관리제 순항 중, 3월에 강화된 조치로 효과 높인다",data/2020/2020-03/2020-03-02/084_미분류_참고자료_미세먼지_계절관리제_순항_중_3월에_강화된_조치로_효과_높인다.md,data/2020/2020-03/2020-03-02/084_환경부_참고자료_미세먼지_계절관리제_순항_중_3월에_강화된_조치로_효과_높인다.md
kcc-pack3,방송통신위원회,156384589,2020년 제17차 위원회(서면회의) 결과,data/2020/2020-04/2020-04-08/074_미분류_2020년_제17차_위원회_서면회의_결과.md,data/2020/2020-04/2020-04-08/074_방송통신위원회_2020년_제17차_위원회_서면회의_결과.md
motie-pack3,산업통상자원부,156385167,2020년 3월 자동차산업 월간 동향(잠정),data/2020/2020-04/2020-04-13/032_미분류_2020년_3월_자동차산업_월간_동향_잠정.md,data/2020/2020-04/2020-04-13/032_산업통상자원부_2020년_3월_자동차산업_월간_동향_잠정.md
motie-pack3,산업통상자원부,156389701,"“ 50만 볼트 송․변전설비 주변지역도 토지보상, 주택매수 등 지원가능 ”",data/2020/2020-05/2020-05-12/039_미분류_50만_볼트_송_변전설비_주변지역도_토지보상_주택매수_등_지원가능.md,data/2020/2020-05/2020-05-12/039_산업통상자원부_50만_볼트_송_변전설비_주변지역도_토지보상_주택매수_등_지원가능.md
kcc-pack3,방송통신위원회,156391470,2020년 제29차 위원회 회의 결과,data/2020/2020-05/2020-05-21/092_미분류_2020년_제29차_위원회_회의_결과.md,data/2020/2020-05/2020-05-21/092_방송통신위원회_2020년_제29차_위원회_회의_결과.md
motie-pack3,산업통상자원부,156392617,’20년 4월 주요 유통업체 매출 전년동월 대비 3.9% 증가,data/2020/2020-05/2020-05-28/056_미분류_20년_4월_주요_유통업체_매출_전년동월_대비_3_9_증가.md,data/2020/2020-05/2020-05-28/056_산업통상자원부_20년_4월_주요_유통업체_매출_전년동월_대비_3_9_증가.md
motie-pack3,산업통상자원부,156392686,(참고자료)의약품 등 인도적 교역 물품의 대이란 첫 항공 운송 성사,data/2020/2020-05/2020-05-28/093_미분류_참고자료_의약품_등_인도적_교역_물품의_대이란_첫_항공_운송_성사.md,data/2020/2020-05/2020-05-28/093_산업통상자원부_참고자료_의약품_등_인도적_교역_물품의_대이란_첫_항공_운송_성사.md
motie-pack3,산업통상자원부,156393309,"(공동-설명)2020. 6. 1.(월) 경향신문(인터넷판)「기후변화 대응법 '미흡'...그린 뉴딜인데, 그린이 안 보인다」기사 관련",data/2020/2020-06/2020-06-02/011_미분류_공동_설명_2020_6_1_월_경향신문_인터넷판_기후변화_대응법_미흡_그린_뉴딜인데_그린이_안_보인다_기사_관련.md,data/2020/2020-06/2020-06-02/011_산업통상자원부_공동_설명_2020_6_1_월_경향신문_인터넷판_기후변화_대응법_미흡_그린_뉴딜인데_그린이_안_보인다_기사_관련.md
family-pack3,여성가족부,156395649,"중고생 10명 중 1명, 온라인에서 원치 않은 성적 유인 피해 경험",data/2020/2020-06/2020-06-15/075_미분류_중고생_10명_중_1명_온라인에서_원치_않은_성적_유인_피해_경험.md,data/2020/2020-06/2020-06-15/075_여성가족부_중고생_10명_중_1명_온라인에서_원치_않은_성적_유인_피해_경험.md
msit-pack3,과학기술정보통신부,156396957,‘소외없는 디지털 세상’ 밑그림 확정,data/2020/2020-06/2020-06-22/097_미분류_소외없는_디지털_세상_밑그림_확정.md,data/2020/2020-06/2020-06-22/097_과학기술정보통신부_소외없는_디지털_세상_밑그림_확정.md
msit-pack3,과학기술정보통신부,156396959,청년 크리에이터와 미디어 기업이 혁신 성장을 이끄는 미디어 강국 실현,data/2020/2020-06/2020-06-22/098_미분류_청년_크리에이터와_미디어_기업이_혁신_성장을_이끄는_미디어_강국_실현.md,data/2020/2020-06/2020-06-22/098_과학기술정보통신부_청년_크리에이터와_미디어_기업이_혁신_성장을_이끄는_미디어_강국_실현.md
motie-pack3,산업통상자원부,156398245,’20년 5월 주요 유통업체 매출 전년동월 대비 2.0% 증가,data/2020/2020-06/2020-06-29/070_미분류_20년_5월_주요_유통업체_매출_전년동월_대비_2_0_증가.md,data/2020/2020-06/2020-06-29/070_산업통상자원부_20년_5월_주요_유통업체_매출_전년동월_대비_2_0_증가.md
motie-pack3,산업통상자원부,156400285,(참고자료)첨단산업 세계공장 도약을 위한 「소재･부품･장비 2.0 전략」발표,data/2020/2020-07/2020-07-09/044_미분류_참고자료_첨단산업_세계공장_도약을_위한_소재_부품_장비_2_0_전략_발표.md,data/2020/2020-07/2020-07-09/044_산업통상자원부_참고자료_첨단산업_세계공장_도약을_위한_소재_부품_장비_2_0_전략_발표.md
kcc-pack3,방송통신위원회,156402115,［설명자료］인터넷 사업자에 불법촬영물등에 대한 삭제를 의무화하고 불이행 시 강력히 제재하는 법안이 통과되었음,data/2020/2020-07/2020-07-21/079_미분류_설명자료_인터넷_사업자에_불법촬영물등에_대한_삭제를_의무화하고_불이행_시_강력히_제재하는_법안이_통과되었음.md,data/2020/2020-07/2020-07-21/079_방송통신위원회_설명자료_인터넷_사업자에_불법촬영물등에_대한_삭제를_의무화하고_불이행_시_강력히_제재하는_법안이_통과되었음.md
motie-pack3,산업통상자원부,156403666,2020년 상반기 주요 유통업체 매출 전년대비 3.7% 증가,data/2020/2020-07/2020-07-30/047_미분류_2020년_상반기_주요_유통업체_매출_전년대비_3_7_증가.md,data/2020/2020-07/2020-07-30/047_산업통상자원부_2020년_상반기_주요_유통업체_매출_전년대비_3_7_증가.md
motie-pack3,산업통상자원부,156406825,에너지전환 확산을 위한 高효율·低소비 경제 기반 확립,data/2020/2020-08/2020-08-19/062_미분류_에너지전환_확산을_위한_효율_소비_경제_기반_확립.md,data/2020/2020-08/2020-08-19/062_산업통상자원부_에너지전환_확산을_위한_효율_소비_경제_기반_확립.md
motie-pack3,산업통상자원부,156407101,보도자료_테스트_대표홈페이지에 노출되지 않습니다_크롬_한글_에너지,data/2020/2020-08/2020-08-20/086_미분류_보도자료_테스트_대표홈페이지에_노출되지_않습니다_크롬_한글_에너지.md,data/2020/2020-08/2020-08-20/086_산업통상자원부_보도자료_테스트_대표홈페이지에_노출되지_않습니다_크롬_한글_에너지.md
motie-pack3,산업통상자원부,156408431,’20년 7월 주요 유통업체 매출 전년동월 대비 4.4% 증가,data/2020/2020-08/2020-08-31/033_미분류_20년_7월_주요_유통업체_매출_전년동월_대비_4_4_증가.md,data/2020/2020-08/2020-08-31/033_산업통상자원부_20년_7월_주요_유통업체_매출_전년동월_대비_4_4_증가.md
family-pack3,여성가족부,156409053,공공기관 성별 임금격차 감소 추세,data/2020/2020-09/2020-09-02/055_미분류_공공기관_성별_임금격차_감소_추세.md,data/2020/2020-09/2020-09-02/055_여성가족부_공공기관_성별_임금격차_감소_추세.md
environment-pack3,환경부,156412000,(설명)불법폐기물 처리 및 근절대책을 지속 추진 중에 있음[TV조선의 2020.9.20일자 방송에 대한 설명],data/2020/2020-09/2020-09-21/105_미분류_설명_불법폐기물_처리_및_근절대책을_지속_추진_중에_있음_TV조선의_2020_9_20일자_방송에_대한_설명.md,data/2020/2020-09/2020-09-21/105_환경부_설명_불법폐기물_처리_및_근절대책을_지속_추진_중에_있음_TV조선의_2020_9_20일자_방송에_대한_설명.md
motie-pack3,산업통상자원부,156412695,"경제자유구역내 외국교육기관(외국대학), 산학협력 길 열린다.",data/2020/2020-09/2020-09-24/065_미분류_경제자유구역내_외국교육기관_외국대학_산학협력_길_열린다.md,data/2020/2020-09/2020-09-24/065_산업통상자원부_경제자유구역내_외국교육기관_외국대학_산학협력_길_열린다.md
motie-pack3,산업통상자원부,156413626,’20년 8월 주요 유통업체 매출 전년동월 대비 6.6% 증가,data/2020/2020-09/2020-09-29/047_미분류_20년_8월_주요_유통업체_매출_전년동월_대비_6_6_증가.md,data/2020/2020-09/2020-09-29/047_산업통상자원부_20년_8월_주요_유통업체_매출_전년동월_대비_6_6_증가.md
motie-pack3,산업통상자원부,156414279,(참고자료)「한·일 기업인 특별입국절차」10.8(목)부터 시행,data/2020/2020-10/2020-10-06/066_미분류_참고자료_한_일_기업인_특별입국절차_10_8_목_부터_시행.md,data/2020/2020-10/2020-10-06/066_산업통상자원부_참고자료_한_일_기업인_특별입국절차_10_8_목_부터_시행.md
motie-pack3,산업통상자원부,156417112,’20년 9월 주요 유통업체 매출 전년동월 대비 8.5% 증가,data/2020/2020-10/2020-10-26/029_미분류_20년_9월_주요_유통업체_매출_전년동월_대비_8_5_증가.md,data/2020/2020-10/2020-10-26/029_산업통상자원부_20년_9월_주요_유통업체_매출_전년동월_대비_8_5_증가.md
motie-pack3,산업통상자원부,156420559,혁신형 강소·중견기업 육성으로“허리가 튼튼한 경제”실현,data/2020/2020-11/2020-11-12/050_미분류_혁신형_강소_중견기업_육성으로_허리가_튼튼한_경제_실현.md,data/2020/2020-11/2020-11-12/050_산업통상자원부_혁신형_강소_중견기업_육성으로_허리가_튼튼한_경제_실현.md
