old_ministry,new_ministry,reason,news_item_id,title,old_path,new_path
요청,방송통신위원회,inferred,156388588,"방통위, 코로나19 확진자 동선정보 관련 사업자와 이용자의 자발적인 삭제 협조 요청",data/2020/2020-05/2020-05-04/069_요청_방통위_코로나19_확진자_동선정보_관련_사업자와_이용자의_자발적인_삭제_협조_요청.md,data/2020/2020-05/2020-05-04/069_방송통신위원회_방통위_코로나19_확진자_동선정보_관련_사업자와_이용자의_자발적인_삭제_협조_요청.md
일부,국립생태원,inferred,156388644,"(참고)5월6일부터 국립공원 야영장, 동물원 실내 전시·관람시설 등 단계적 개방",data/2020/2020-05/2020-05-05/017_일부_참고_5월6일부터_국립공원_야영장_동물원_실내_전시_관람시설_등_단계적_개방.md,data/2020/2020-05/2020-05-05/017_국립생태원_참고_5월6일부터_국립공원_야영장_동물원_실내_전시_관람시설_등_단계적_개방.md
자원,환경부,inferred,156388655,자원순환 선도기업과 성과 우수사업장을 찾습니다,data/2020/2020-05/2020-05-06/005_자원_자원순환_선도기업과_성과_우수사업장을_찾습니다.md,data/2020/2020-05/2020-05-06/005_환경부_자원순환_선도기업과_성과_우수사업장을_찾습니다.md
산업부,산업통상자원부,alias,156388712,"(설명자료)산업부는 일부 수도권의 지식산업센터 투기 문제에 대해 지자체, 유관기관 등과 협력하여 개선해 나가겠음(MBC 5.4일자 보도에 대한 설명)",data/2020/2020-05/2020-05-06/032_산업부_설명자료_산업부는_일부_수도권의_지식산업센터_투기_문제에_대해_지자체_유관기관_등과_협력하여_개선해_나가겠음_MBC_5_4일자_보도에_대한_설명.md,data/2020/2020-05/2020-05-06/032_산업통상자원부_설명자료_산업부는_일부_수도권의_지식산업센터_투기_문제에_대해_지자체_유관기관_등과_협력하여_개선해_나가겠음_MBC_5_4일자_보도에_대한_설명.md
산업부,산업통상자원부,alias,156388790,"산업부, 「디지털 기반의 산업 혁신성장 촉진 특별법(가칭)」 제정 착수",data/2020/2020-05/2020-05-06/057_산업부_산업부_디지털_기반의_산업_혁신성장_촉진_특별법_가칭_제정_착수.md,data/2020/2020-05/2020-05-06/057_산업통상자원부_산업부_디지털_기반의_산업_혁신성장_촉진_특별법_가칭_제정_착수.md
정부,산업통상자원부,inferred,156388859,(설명자료)정부는 현장 수요를 기반으로 공공부문 비대면․디지털일자리 창출을 위해 노력해 나가겠음(조선일보 5.6일자 보도에 대한 설명),data/2020/2020-05/2020-05-06/094_정부_설명자료_정부는_현장_수요를_기반으로_공공부문_비대면_디지털일자리_창출을_위해_노력해_나가겠음_조선일보_5_6일자_보도에_대한_설명.md,data/2020/2020-05/2020-05-06/094_산업통상자원부_설명자료_정부는_현장_수요를_기반으로_공공부문_비대면_디지털일자리_창출을_위해_노력해_나가겠음_조선일보_5_6일자_보도에_대한_설명.md
지원,방송통신위원회,inferred,156388903,"방통위, 친환경농산물 재배농가 및 취약계층 지원",data/2020/2020-05/2020-05-06/109_지원_방통위_친환경농산물_재배농가_및_취약계층_지원.md,data/2020/2020-05/2020-05-06/109_방송통신위원회_방통위_친환경농산물_재배농가_및_취약계층_지원.md
산업부,산업통상자원부,alias,156388953,"산업부,“위기를 기회로, GVC 재편 대응전략”논의",data/2020/2020-05/2020-05-07/023_산업부_산업부_위기를_기회로_GVC_재편_대응전략_논의.md,data/2020/2020-05/2020-05-07/023_산업통상자원부_산업부_위기를_기회로_GVC_재편_대응전략_논의.md
산업부,산업통상자원부,alias,156389031,경기활성화 및 일자리창출 촉진을 위한 「산업부 소관 공공기관장 화상회의」개최,data/2020/2020-05/2020-05-07/046_산업부_경기활성화_및_일자리창출_촉진을_위한_산업부_소관_공공기관장_화상회의_개최.md,data/2020/2020-05/2020-05-07/046_산업통상자원부_경기활성화_및_일자리창출_촉진을_위한_산업부_소관_공공기관장_화상회의_개최.md
산업부,산업통상자원부,alias,156389032,"산업부 소관 40개 공공기관, 중소기업중앙회와 중기제품 구매촉진 협약 체결",data/2020/2020-05/2020-05-07/047_산업부_산업부_소관_40개_공공기관_중소기업중앙회와_중기제품_구매촉진_협약_체결.md,data/2020/2020-05/2020-05-07/047_산업통상자원부_산업부_소관_40개_공공기관_중소기업중앙회와_중기제품_구매촉진_협약_체결.md
정부,과학기술정보통신부,inferred,156389043,"ISMS-P* 통합인증 본격시행 1년, 개인정보보호 수준은 높이고 인증비용은 줄이고",data/2020/2020-05/2020-05-07/051_정부_ISMS_P_통합인증_본격시행_1년_개인정보보호_수준은_높이고_인증비용은_줄이고.md,data/2020/2020-05/2020-05-07/051_과학기술정보통신부_ISMS_P_통합인증_본격시행_1년_개인정보보호_수준은_높이고_인증비용은_줄이고.md
정부,산업통상자원부,inferred,156389074,"정부, ｢엔지니어링산업 혁신전략｣ 마련",data/2020/2020-05/2020-05-07/067_정부_정부_엔지니어링산업_혁신전략_마련.md,data/2020/2020-05/2020-05-07/067_산업통상자원부_정부_엔지니어링산업_혁신전략_마련.md
소부,산업통상자원부,inferred,156389099,지역거점대학을 중심으로 지역 소부장기업 집중 지원,data/2020/2020-05/2020-05-07/081_소부_지역거점대학을_중심으로_지역_소부장기업_집중_지원.md,data/2020/2020-05/2020-05-07/081_산업통상자원부_지역거점대학을_중심으로_지역_소부장기업_집중_지원.md
조원,산업통상자원부,inferred,156389143,"산단 대개조 지역 5곳 예비 선정, 향후 3년 간 고용 6만명, 생산 48조원 달성",data/2020/2020-05/2020-05-07/104_조원_산단_대개조_지역_5곳_예비_선정_향후_3년_간_고용_6만명_생산_48조원_달성.md,data/2020/2020-05/2020-05-07/104_산업통상자원부_산단_대개조_지역_5곳_예비_선정_향후_3년_간_고용_6만명_생산_48조원_달성.md
당부,통상교섭본부,inferred,156389144,한·EU 통상장관 화상회의 개최,data/2020/2020-05/2020-05-07/105_당부_한_EU_통상장관_화상회의_개최.md,data/2020/2020-05/2020-05-07/105_통상교섭본부_한_EU_통상장관_화상회의_개최.md
한부,여성가족부,inferred,156389192,한부모가족의 어려움에 공감하는 따뜻하고 열린 사회를 만들겠습니다,data/2020/2020-05/2020-05-07/118_한부_한부모가족의_어려움에_공감하는_따뜻하고_열린_사회를_만들겠습니다.md,data/2020/2020-05/2020-05-07/118_여성가족부_한부모가족의_어려움에_공감하는_따뜻하고_열린_사회를_만들겠습니다.md
정부,환경부,inferred,156389603,"(설명)화학물질 등록은 국민의 안전을 지키기 위한 제도로서, 정부는 중소기업이 이를 잘 이행할 수 있도록 다각적으로 지원 중[매일경제 2020.5.11.일자 보도에 대한 설명]",data/2020/2020-05/2020-05-11/095_정부_설명_화학물질_등록은_국민의_안전을_지키기_위한_제도로서_정부는_중소기업이_이를_잘_이행할_수_있도록_다각적으로_지원_중_매일경제_2020_5_.md,data/2020/2020-05/2020-05-11/095_환경부_설명_화학물질_등록은_국민의_안전을_지키기_위한_제도로서_정부는_중소기업이_이를_잘_이행할_수_있도록_다각적으로_지원_중_매일경제_2020_5_.md
산업부,산업통상자원부,alias,156389700,"산업부, 자동차 부품기업 미래차 전환 지원 본격화",data/2020/2020-05/2020-05-12/034_산업부_산업부_자동차_부품기업_미래차_전환_지원_본격화.md,data/2020/2020-05/2020-05-12/034_산업통상자원부_산업부_자동차_부품기업_미래차_전환_지원_본격화.md
지원,여성가족부,inferred,156389707,아르바이트 청소년 근로권익 보호 강화한다.,data/2020/2020-05/2020-05-12/035_지원_아르바이트_청소년_근로권익_보호_강화한다.md,data/2020/2020-05/2020-05-12/035_여성가족부_아르바이트_청소년_근로권익_보호_강화한다.md
지원,미분류,fallback-unclassified,156389701,"“ 50만 볼트 송․변전설비 주변지역도 토지보상, 주택매수 등 지원가능 ”",data/2020/2020-05/2020-05-12/039_지원_50만_볼트_송_변전설비_주변지역도_토지보상_주택매수_등_지원가능.md,data/2020/2020-05/2020-05-12/039_미분류_50만_볼트_송_변전설비_주변지역도_토지보상_주택매수_등_지원가능.md
지원,아동·청,inferred,156389748,성매매 피해 청소년 구조에서 사회복귀까지 전담 지원,data/2020/2020-05/2020-05-12/050_지원_성매매_피해_청소년_구조에서_사회복귀까지_전담_지원.md,data/2020/2020-05/2020-05-12/050_아동_청_성매매_피해_청소년_구조에서_사회복귀까지_전담_지원.md
정부,행정안전부,inferred,156389757,"정부, 5월 가뭄 예·경보 발표",data/2020/2020-05/2020-05-12/051_정부_정부_5월_가뭄_예_경보_발표.md,data/2020/2020-05/2020-05-12/051_행정안전부_정부_5월_가뭄_예_경보_발표.md
지원,환경부,inferred,156389775,"(설명)화학안전법령은 국민건강 보호를 위한 최소한의 안전장치로, 기업이 원활히 제도를 이행할 수 있도록 적극 지원 중[매일경제 2020.5.12.일자 보도에 대한 설명]",data/2020/2020-05/2020-05-12/068_지원_설명_화학안전법령은_국민건강_보호를_위한_최소한의_안전장치로_기업이_원활히_제도를_이행할_수_있도록_적극_지원_중_매일경제_2020_5_12_일.md,data/2020/2020-05/2020-05-12/068_환경부_설명_화학안전법령은_국민건강_보호를_위한_최소한의_안전장치로_기업이_원활히_제도를_이행할_수_있도록_적극_지원_중_매일경제_2020_5_12_일.md
자원,산업통상자원부,inferred,156389813,｢자원개발 기본계획｣(’20～’29) 확정,data/2020/2020-05/2020-05-12/082_자원_자원개발_기본계획_20_29_확정.md,data/2020/2020-05/2020-05-12/082_산업통상자원부_자원개발_기본계획_20_29_확정.md
지원,과학기술정보통신부,inferred,156389814,규제 샌드박스 지원기능 민간에 첫 개방,data/2020/2020-05/2020-05-12/084_지원_규제_샌드박스_지원기능_민간에_첫_개방.md,data/2020/2020-05/2020-05-12/084_과학기술정보통신부_규제_샌드박스_지원기능_민간에_첫_개방.md
정부,산업통상자원부,inferred,156389872,독일과 한국 정부간 에너지전환 협력이 강화된다,data/2020/2020-05/2020-05-13/022_정부_독일과_한국_정부간_에너지전환_협력이_강화된다.md,data/2020/2020-05/2020-05-13/022_산업통상자원부_독일과_한국_정부간_에너지전환_협력이_강화된다.md
여가부,여성가족부,alias,156389973,"여가부-경찰청, 안전한 지역 환경 조성을 위해 함께 나선다",data/2020/2020-05/2020-05-13/049_여가부_여가부_경찰청_안전한_지역_환경_조성을_위해_함께_나선다.md,data/2020/2020-05/2020-05-13/049_여성가족부_여가부_경찰청_안전한_지역_환경_조성을_위해_함께_나선다.md
신청,여성가족부,inferred,156389971,"학교 밖 청소년, 슬기로운 건강검진 생활",data/2020/2020-05/2020-05-13/050_신청_학교_밖_청소년_슬기로운_건강검진_생활.md,data/2020/2020-05/2020-05-13/050_여성가족부_학교_밖_청소년_슬기로운_건강검진_생활.md
