reason,new_ministry,news_item_id,title,old_path,new_path
economic-trend,산업통상자원부,156369312,"2019년(12월, 연간) 수출입 동향 및 2020년 수출입 전망",data/2020/2020-01/2020-01-01/004_미분류_2019년_12월_연간_수출입_동향_및_2020년_수출입_전망.md,data/2020/2020-01/2020-01-01/004_산업통상자원부_2019년_12월_연간_수출입_동향_및_2020년_수출입_전망.md
trade-policy,산업통상자원부,156369971,RCEP 연내 서명을 위한 아세안과의 협력 강화,data/2020/2020-01/2020-01-07/031_미분류_RCEP_연내_서명을_위한_아세안과의_협력_강화.md,data/2020/2020-01/2020-01-07/031_산업통상자원부_RCEP_연내_서명을_위한_아세안과의_협력_강화.md
trade-policy,산업통상자원부,156371814,한·캐나다 FTA 발효('15.1.1) 5주년 교역 동향,data/2020/2020-01/2020-01-20/049_미분류_한_캐나다_FTA_발효_15_1_1_5주년_교역_동향.md,data/2020/2020-01/2020-01-20/049_산업통상자원부_한_캐나다_FTA_발효_15_1_1_5주년_교역_동향.md
economic-trend,산업통상자원부,156373643,2020년 1월 수출입 동향,data/2020/2020-02/2020-02-01/002_미분류_2020년_1월_수출입_동향.md,data/2020/2020-02/2020-02-01/002_산업통상자원부_2020년_1월_수출입_동향.md
economic-trend,산업통상자원부,156377941,2020년 2월 수출입 동향,data/2020/2020-03/2020-03-01/008_미분류_2020년_2월_수출입_동향.md,data/2020/2020-03/2020-03-01/008_산업통상자원부_2020년_2월_수출입_동향.md
trade-policy,산업통상자원부,156380245,한·미 FTA 발효 8년차('19년) 교역 동향,data/2020/2020-03/2020-03-16/019_미분류_한_미_FTA_발효_8년차_19년_교역_동향.md,data/2020/2020-03/2020-03-16/019_산업통상자원부_한_미_FTA_발효_8년차_19년_교역_동향.md
economic-trend,산업통상자원부,156383289,2020년 3월 수출입 동향,data/2020/2020-04/2020-04-01/067_미분류_2020년_3월_수출입_동향.md,data/2020/2020-04/2020-04-01/067_산업통상자원부_2020년_3월_수출입_동향.md
economic-trend,산업통상자원부,156398851,2020년 6월 수출입 동향,data/2020/2020-07/2020-07-01/064_미분류_2020년_6월_수출입_동향.md,data/2020/2020-07/2020-07-01/064_산업통상자원부_2020년_6월_수출입_동향.md
economic-trend,산업통상자원부,156401180,2020년 상반기 외국인직접투자 동향,data/2020/2020-07/2020-07-15/041_미분류_2020년_상반기_외국인직접투자_동향.md,data/2020/2020-07/2020-07-15/041_산업통상자원부_2020년_상반기_외국인직접투자_동향.md
economic-trend,산업통상자원부,156404057,2020년 7월 수출입 동향,data/2020/2020-08/2020-08-01/007_미분류_2020년_7월_수출입_동향.md,data/2020/2020-08/2020-08-01/007_산업통상자원부_2020년_7월_수출입_동향.md
trade-policy,산업통상자원부,156411497,산업단지의 친환경 첨단 산업기지화를 위한 「스마트그린산단 실행전략」발표,data/2020/2020-09/2020-09-17/090_미분류_산업단지의_친환경_첨단_산업기지화를_위한_스마트그린산단_실행전략_발표.md,data/2020/2020-09/2020-09-17/090_산업통상자원부_산업단지의_친환경_첨단_산업기지화를_위한_스마트그린산단_실행전략_발표.md
