reason,new_ministry,news_item_id,title,old_path,new_path
kcc-committee-result,방송통신위원회,156403435,2020년 제44차 위원회 결과,data/2020/2020-07/2020-07-29/024_미분류_2020년_제44차_위원회_결과.md,data/2020/2020-07/2020-07-29/024_방송통신위원회_2020년_제44차_위원회_결과.md
industrial-policy,산업통상자원부,156403601,"(참고자료)WTO 일본 수출제한조치 분쟁, 패널설치 확정",data/2020/2020-07/2020-07-30/018_미분류_참고자료_WTO_일본_수출제한조치_분쟁_패널설치_확정.md,data/2020/2020-07/2020-07-30/018_산업통상자원부_참고자료_WTO_일본_수출제한조치_분쟁_패널설치_확정.md
ict-export,과학기술정보통신부,156406032,"7월 정보통신기술(ICT) 수출 149.9억불, 수입 98.6억불",data/2020/2020-08/2020-08-13/038_미분류_7월_정보통신기술_ICT_수출_149_9억불_수입_98_6억불.md,data/2020/2020-08/2020-08-13/038_과학기술정보통신부_7월_정보통신기술_ICT_수출_149_9억불_수입_98_6억불.md
industrial-policy,산업통상자원부,156406555,2020년 7월 자동차산업 월간 동향,data/2020/2020-08/2020-08-18/049_미분류_2020년_7월_자동차산업_월간_동향.md,data/2020/2020-08/2020-08-18/049_산업통상자원부_2020년_7월_자동차산업_월간_동향.md
kcc-committee-result,방송통신위원회,156410153,2020년 제49차 위원회 결과,data/2020/2020-09/2020-09-09/059_미분류_2020년_제49차_위원회_결과.md,data/2020/2020-09/2020-09-09/059_방송통신위원회_2020년_제49차_위원회_결과.md
ict-export,과학기술정보통신부,156410973,"8월 정보통신기술(ICT) 수출 152.4억불, 수입 91.9억불",data/2020/2020-09/2020-09-15/058_미분류_8월_정보통신기술_ICT_수출_152_4억불_수입_91_9억불.md,data/2020/2020-09/2020-09-15/058_과학기술정보통신부_8월_정보통신기술_ICT_수출_152_4억불_수입_91_9억불.md
kcc-committee-result,방송통신위원회,156411127,2020년 제50차 위원회 결과,data/2020/2020-09/2020-09-16/028_미분류_2020년_제50차_위원회_결과.md,data/2020/2020-09/2020-09-16/028_방송통신위원회_2020년_제50차_위원회_결과.md
industrial-policy,산업통상자원부,156411638,2020년 8월 자동차산업 월간 동향,data/2020/2020-09/2020-09-18/046_미분류_2020년_8월_자동차산업_월간_동향.md,data/2020/2020-09/2020-09-18/046_산업통상자원부_2020년_8월_자동차산업_월간_동향.md
kcc-committee-result,방송통신위원회,156414407,2020년 제53차 위원회 결과,data/2020/2020-10/2020-10-07/036_미분류_2020년_제53차_위원회_결과.md,data/2020/2020-10/2020-10-07/036_방송통신위원회_2020년_제53차_위원회_결과.md
ict-export,과학기술정보통신부,156415520,"9월 정보통신기술(ICT) 수출 176.3억불, 수입 95.6억불",data/2020/2020-10/2020-10-15/053_미분류_9월_정보통신기술_ICT_수출_176_3억불_수입_95_6억불.md,data/2020/2020-10/2020-10-15/053_과학기술정보통신부_9월_정보통신기술_ICT_수출_176_3억불_수입_95_6억불.md
industrial-policy,산업통상자원부,156416056,2020년 9월 자동차산업 월간 동향,data/2020/2020-10/2020-10-19/051_미분류_2020년_9월_자동차산업_월간_동향.md,data/2020/2020-10/2020-10-19/051_산업통상자원부_2020년_9월_자동차산업_월간_동향.md
industrial-policy,산업통상자원부,156417816,(참고자료)세계무역기구(WTO) 사무총장 결선 라운드 결과,data/2020/2020-10/2020-10-29/019_미분류_참고자료_세계무역기구_WTO_사무총장_결선_라운드_결과.md,data/2020/2020-10/2020-10-29/019_산업통상자원부_참고자료_세계무역기구_WTO_사무총장_결선_라운드_결과.md
industrial-policy,산업통상자원부,156418408,미래자동차 친화적 사회시스템 및 산업생태계 구축,data/2020/2020-10/2020-10-30/077_미분류_미래자동차_친화적_사회시스템_및_산업생태계_구축.md,data/2020/2020-10/2020-10-30/077_산업통상자원부_미래자동차_친화적_사회시스템_및_산업생태계_구축.md
kcc-committee-result,방송통신위원회,156418468,2020년 제58차 위원회 결과,data/2020/2020-10/2020-10-30/102_미분류_2020년_제58차_위원회_결과.md,data/2020/2020-10/2020-10-30/102_방송통신위원회_2020년_제58차_위원회_결과.md
kcc-committee-result,방송통신위원회,156419771,2020년 제59차 위원회 결과,data/2020/2020-11/2020-11-09/022_미분류_2020년_제59차_위원회_결과.md,data/2020/2020-11/2020-11-09/022_방송통신위원회_2020년_제59차_위원회_결과.md
